a,b,chapter
en bluse,a blouse,chothes
ei bukse,(a pair of) trousers,chothes
en dress,a suit,chothes
en frakk,a men's coat,chothes
en genser,a sweater,chothes
ei jakke,a jacket,chothes
en kjole,a dress,chothes
ei kåpe,a women's coat,chothes
ei skjorte,a shirt,chothes
en shorts,(a pair of) shorts,chothes
et skjørt,a skirt,chothes
"en hanske, hansker","a glove, gloves",chothes
"en vott, votter","a mitten, mittens",chothes
en hatt,a hat,chothes
ei lue,a (winter) cap,chothes
et slips,a tie,chothes
et skjerf,a scarf,chothes
et skaut,a head scarf,chothes
ei veske,a hand bag,chothes
"ei sko, sko","a shoe, shoes",chothes
"en sokk, sokker","a sock, socks",chothes
"en støvel, støvler","a boot, boots",chothes
en familie,a family,family
et barn ,a child,family
ei mor ,a mother,family
en far ,a father,family
foreldre ,parents,family
ei datter,a daughter,family
en sønn,a son,family
ei søster ,a sister,family
en bror ,a brother,family
søsken,siblings,family
et enebarn,an only child,family
ei tante ,an aunt,family
en onkel,an uncle,family
ei kusine,a cousin (female),family
en fetter ,a cousin (male),family
et søskenbarn ,a cousin (m. or f.),family
en nevø ,a nephew,family
ei niese,a niece,family
ei bestemor,a grandmother,family
ei farmor ,a paternal grandmother,family
ei mormor,a maternal grandmother,family
en bestefar,a grandfather,family
en farfar ,a paternal grandfather,family
en morfar,a maternal grandfather,family
besteforeldre ,grandparents,family
et barnebarn,a grandchild,family
på badet,in the bathroom,bathroom
et badekar,a tub,bathroom
en barberhøvel,a razor,bathroom
et barberskum,shaving foam,bathroom
en bodylotion,body lotion,bathroom
en hårbørste,a hair brush,bathroom
en hårføner,a hair dryer,bathroom
en sjampo,a shampoo,bathroom
ei såpe,a soap,bathroom
en tannbørste,a tooth brush,bathroom
en tannkrem,tooth paste,bathroom
en vask,a sink,bathroom
en do/et toalett,a toilet,bathroom
et dopapir,toilet paper,bathroom
en dusj,a shower,bathroom
ei dusjsåpe,a shower gel,bathroom
et håndkle,a towel,bathroom
fem,five,2
å vente,to wait,2
i,"in, at, on",2
å reise,to travel,2
gammel,old,2
han,"he, him",2
oss,us,2
sammen,together,2
et år,a year,2
ei dame,a lady,2
med,with,2
hun,she,2
å komme,to come,2
å snakke,to speak,2
et fly,a plane,2
ei,"a, an, one (feminine)",2
bor (å bo),live(s),2
til,to,2
en mamma,a mummy,2
en pappa,a daddy,2
vi,we,2
og,and,2
ledig,vacant,2
ei jente,a girl,2
så,so,2
å være,"to be, exist",2
en takk,a thank you,2
en gutt,a boy,2
vær (å være),be,2
like,"like, same",2
vær så god,you're welcome! please! here you are!,2
her,here,2
ei lufthavn,an airport,2
å ha,to have,2
deg,you (singular),2
ja,yes,2
en måte,a way,2
en,"a, an, one",2
de,they,2
fransk,French,2
også,"too, also",2
en kafé,a café,2
unnskyld,excuse me,2
